Rk,School,Year,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
286,Southern Methodist,2025,14.96,6.05,80,71.1,28.3,58.9,0.481,7.79,20.7,0.376,15.6,21.6,0.721,12.5,38.4,15.6,7.97,3.61,12,16.7
287,Southern Mississippi,2025,-9.71,-3.13,71.3,76,25.5,59.2,0.431,6.58,21.7,0.303,13.7,19.8,0.692,10.5,37.4,14.4,6.88,4.3,13.9,16.8
288,Southern Utah,2025,-10.29,-1.79,69.8,73.7,24.5,57.6,0.425,5.87,18.8,0.313,15,20.6,0.729,11,37.1,12,5.06,4.39,14.5,17.6
289,St. Bonaventure,2025,3.34,0.49,68.6,65.2,25.1,56.4,0.444,6.21,19.9,0.312,12.3,16.9,0.729,9.38,33.7,11,7.53,3.24,10.4,13.4
290,St. John's (NY) NCAA,2025,21.72,8.9,78.7,65.9,29.5,65.5,0.451,6.03,19.9,0.304,13.6,19.8,0.689,14.5,40.9,15.9,9.18,5.21,11.1,16.6
291,St. Thomas,2025,1.29,-4.22,83.1,74.8,28.7,58.3,0.492,10.4,27,0.387,15.3,19.6,0.78,7.26,31.3,15.4,7.18,3.18,9.53,18
292,Stanford,2025,9.43,6.58,73.4,70.6,25.6,58.8,0.435,8.41,24.5,0.343,13.9,17.6,0.789,10.7,34.1,13.9,6.94,3.62,10.5,17.1
293,Stephen F. Austin,2025,-8.08,-3.36,66.6,68.3,24.4,57.8,0.422,6.16,21.3,0.29,11.7,18.5,0.633,13.1,37.6,12.5,8.32,4.19,15.6,16.6
294,Stetson,2025,-16.18,-4.18,71.7,81.5,25.2,56.6,0.445,7.28,21.4,0.34,14.1,19.1,0.735,8.44,33,11.8,5.16,3.09,13,14.7
295,Stonehill,2025,-12.9,-9.33,68.7,70.1,23.7,54.6,0.434,8.63,24.3,0.355,12.6,17.4,0.724,9,33.1,14.4,6.44,2.63,12.1,16.6
296,Stony Brook,2025,-13.57,-4.16,66.5,74.1,23.1,55.8,0.414,7.38,21.9,0.337,12.9,17.3,0.746,10.5,33.1,11.3,5.09,2.06,11.8,15.2
297,Syracuse,2025,5.34,8.43,74.7,77.8,27.2,59.5,0.457,6.39,19.5,0.328,13.9,19.7,0.705,11,37.1,13.6,4.88,2.52,12.6,16.4
298,Tarleton State,2025,-9.95,0.05,63.3,69.6,21.8,50.4,0.432,4.13,12.8,0.324,15.6,21.3,0.733,9.47,30.3,10.6,9.38,3.59,17.6,19.1
299,TCU,2025,10.92,12.08,67.6,68.7,24.4,58.6,0.416,6.09,20.3,0.3,12.7,19.7,0.647,12,34.8,12.2,7.59,3.44,11.6,15.7
300,Temple,2025,0.05,-0.08,78.8,77.7,26.3,58.6,0.448,6.75,18.7,0.362,19.5,26.5,0.736,11.2,36.4,10.8,6.41,3.72,11,18
301,Tennessee NCAA,2025,24.88,13.17,74.7,63,25.8,56.6,0.455,8.29,24.4,0.34,14.9,20.1,0.743,11.5,36.6,15.5,6.94,5.03,10.5,15.5
302,Tennessee State,2025,-7.84,-8.54,78.1,73.3,27.5,59.5,0.463,6.64,20.4,0.325,16.4,24,0.681,13,40.5,13.3,7.18,3.85,15.3,18.9
303,Tennessee Tech,2025,-10.84,-7.57,72.1,74.1,25.3,58.6,0.432,9.66,27.4,0.352,11.8,17,0.698,8.66,34.7,15.2,6.34,2.75,11.6,13.3
304,Tennessee-Martin,2025,-10.97,-7.97,74.4,71.9,25.3,60.5,0.419,9.27,28.8,0.322,14.5,20.7,0.699,13.7,39.4,13.5,8.09,2.82,13.1,16.8
305,Texas NCAA,2025,16.2,9.99,78.4,72.2,27.3,59.2,0.462,7.53,20.9,0.36,16.2,21.6,0.749,10.2,35.7,13,6.29,4.35,9.94,18.9
306,Texas A&M NCAA,2025,20.06,13.68,74.3,67.9,25,60,0.416,7,22.5,0.311,17.4,25,0.695,16.2,41.2,11.9,7.53,4.06,12.3,17.3
307,Texas A&M-Corpus Christi,2025,-1.03,-3.43,75.8,67.4,28.5,58.1,0.49,5.85,17.1,0.343,13,20.6,0.631,11.2,36.5,15,7.88,3.56,12,17.7
308,Texas Southern,2025,-10.08,-8.05,72.7,72.1,26.4,61.7,0.429,7.28,21.8,0.334,12.5,17.3,0.722,11.5,37.5,13.7,8.56,3.41,13.9,16.8
309,Texas State,2025,-3.36,-3.52,76.2,73.3,27.1,58.4,0.464,5.94,16.2,0.367,16.1,21.3,0.756,12.2,37,14.5,7.09,4.03,12.3,18.3
310,Texas Tech NCAA,2025,23.91,10.57,80.9,67.6,28.5,60.5,0.47,10.2,27,0.379,13.8,18,0.764,11.6,36.7,16.6,6.52,3.03,9.97,15.7
311,Texas-Rio Grande Valley,2025,-6.12,-3.45,76.7,74,28.1,63.4,0.444,10.6,32.2,0.329,9.87,14,0.707,11.8,37.6,17.2,7.58,2.81,13.5,16.5
312,The Citadel,2025,-18.24,-4.36,66.6,75,23.5,56.2,0.419,7.53,25.5,0.295,12,19.4,0.617,10.6,34.4,12.3,6,2.03,12.5,16.1
313,Toledo,2025,-5.79,-2.54,78.9,80.2,28.4,61.2,0.464,5.85,17.4,0.336,16.2,21.7,0.75,10.8,34,13.3,5.39,2.76,9.39,15.8
314,Towson,2025,-1.66,-3.32,70,66.7,25.3,60.2,0.421,7.67,22.7,0.337,11.6,17.1,0.682,13.1,36.8,10.6,6.45,3.33,9.36,16
315,Troy NCAA,2025,3.79,-2.66,73.9,65.4,25.1,57.3,0.438,7.67,25.6,0.299,16,22.2,0.72,13.9,38.6,13.9,9.42,4.73,13.5,16.7
316,Tulane,2025,2.02,-0.95,74.9,69.8,25.9,57,0.455,7.7,22.5,0.341,15.4,20.3,0.76,9.27,34.8,14.8,7.24,4.55,10.8,17.1
317,Tulsa,2025,-5.7,-1.66,71.3,73.6,25.1,57.9,0.434,7.94,24.6,0.322,13,19.5,0.667,9.73,35.7,13.6,6.12,2.73,11.4,15.6
318,UAB,2025,4.44,-0.69,82.5,76.2,30.2,65.5,0.461,6.59,19.4,0.339,15.5,20.4,0.761,14.7,39.8,16.1,6.74,4.29,9.97,15.5
